timestamp_s,T_air_free_C,T_air_controlled_C,T_set_heating_C,T_set_cooling_C,raw_heating_demand_W,raw_cooling_demand_W,heating_load_W,cooling_load_W,phi_air_W,phi_surface_W,phi_mass_W,air_balance_residual_W,T_mass_next_C,T_surface_C,H_ve_W_K,H_tr_op_W_K,H_tr_window_W_K,H_tr_em_W_K,H_tr_ms_W_K,H_tr_is_W_K
3600.0,14.158212770294671,19.999999999999993,20.0,27.0,1460.7132897045276,0.0,1460.7132897045276,0.0,100.0,-0.23588456159225693,-1.2890220979021159,9.094947017729282e-13,15.795651684928615,17.554970336040267,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
7200.0,10.874219466023353,20.00000000000001,20.0,27.0,2281.8614202727485,0.0,2281.8614202727485,0.0,100.0,-0.23588456159225693,-1.2890220979021159,0.0,13.773859427686617,15.206799477542612,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
10800.0,9.397937226523815,20.0,20.0,27.0,2650.999323075225,0.0,2650.999323075225,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-4.547473508864641e-13,12.870930623350315,14.11792129238754,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
14400.0,8.791088263393021,19.999999999999996,20.0,27.0,2802.739246224271,0.0,2802.739246224271,0.0,100.0,-0.23588456159225693,-1.2890220979021159,-4.547473508864641e-13,12.503008689215816,13.652175251902895,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
18000.0,8.71349728645623,20.000000000000004,20.0,27.0,2822.1405298924647,0.0,2822.1405298924647,0.0,100.0,-0.23588456159225693,-1.2890220979021159,9.094947017729282e-13,12.467357286264528,13.528854118402535,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
21600.0,8.99572164134775,19.999999999999996,20.0,27.0,2751.571567063406,0.0,2751.571567063406,0.0,100.0,-0.23588456159225693,-1.2890220979021159,9.094947017729282e-13,12.659018600741692,13.630385483784531,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
25200.0,9.385818260242702,19.999999999999996,20.0,27.0,2654.0296174711398,0.0,2654.0296174711398,0.0,100.0,-0.23588456159225693,-1.2890220979021159,0.0,12.913066788265251,13.83158214709973,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
28800.0,9.963471813855461,19.999999999999996,20.0,27.0,2509.589878495955,0.0,2509.589878495955,0.0,100.0,6.488980863333211,35.459886264871294,4.547473508864641e-13,13.322303780964335,14.133142084315807,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
32400.0,10.915550986649224,20.000000000000014,20.0,27.0,2271.5266547142037,0.0,2271.5266547142037,0.0,100.0,63.82330803394066,348.77083036562624,-4.547473508864641e-13,14.215251549254617,14.704433525601624,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
36000.0,12.4939838252381,19.999999999999996,20.0,27.0,1876.846442379743,0.0,1876.846442379743,0.0,100.0,104.75819279300346,572.4648723721488,0.0,15.430863348515416,15.616039842436052,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
39600.0,14.221038846731883,19.999999999999993,20.0,27.0,1445.0039046853035,0.0,1445.0039046853035,0.0,100.0,126.6153667640291,691.9062637720845,1.1368683772161603e-12,16.642070335086636,16.63573475223303,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
43200.0,15.67816383909172,20.000000000000004,20.0,27.0,1080.6561875555967,0.0,1080.6561875555967,0.0,100.0,165.80124946804338,906.0426548538685,-1.3642420526593924e-12,17.75338885642433,17.57731816085138,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
46800.0,17.28376303585377,20.00000000000001,20.0,27.0,679.1831464418516,0.0,679.1831464418516,0.0,100.0,241.29222878593768,1318.573003920306,-1.2505552149377763e-12,19.14033819898617,18.611998372622242,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
50400.0,18.79458097732742,20.0,20.0,27.0,301.40974274568026,0.0,301.40974274568026,0.0,100.0,338.34419458687603,1848.9261890452308,-6.252776074688882e-13,20.55266272844884,19.71491402279476,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
54000.0,20.031571270988202,20.031571270988202,20.0,27.0,0.0,0.0,0.0,0.0,100.0,330.6984339100668,1807.1449279014255,-1.9895196601282805e-13,21.29764011319696,20.55468683838572,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
57600.0,20.58305675926371,20.58305675926371,20.0,27.0,0.0,0.0,0.0,0.0,100.0,368.6284212629601,2014.418314260392,-1.9895196601282805e-13,22.019195805267884,21.217914383661753,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
61200.0,19.402792360722206,20.0,20.0,27.0,149.32915238170125,0.0,149.32915238170125,0.0,100.0,127.31018196148747,695.7031724694422,-9.947598300641403e-13,19.837553772803705,20.3304965246373,17.8848,51.372,37.2,53.50512963268315,1288.5600000000002,360.36
